N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  

1, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 8, 1, ,0 , 4.83023,0.0127034 ,0.436385 ,0.0294181, 
2, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 8, 1, ,0 , 4.82047,0.012679 ,0.434828 ,0.028004, 
1, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 16, 3, ,1 , 1.37989,0.0201947 ,0.071272 ,0.0172007, 
 , ,10 , 5, S, 16, 3, ,2 , 1.34817,0.0262843 ,0.0714003 ,0.0106403, 
 , ,10 , 5, S, 16, 3, ,0 , 1.39083,0.0262878 ,0.0712324 ,0.010804, 
2, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 16, 3, ,1 , 1.3841,0.0204418 ,0.0710759 ,0.0177105, 
 , ,10 , 5, S, 16, 3, ,2 , 1.35347,0.0265257 ,0.0710471 ,0.0115042, 
 , ,10 , 5, S, 16, 3, ,0 , 1.39527,0.0265291 ,0.0714296 ,0.0111168, 
1, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 16, 6, ,1 , 1.07791,0.0216337 ,0.0358739 ,0.0195924, 
 , ,10 , 5, S, 16, 6, ,2 , 1.07986,0.0216667 ,0.0377737 ,0.0182373, 
 , ,10 , 5, S, 16, 6, ,3 , 1.08249,0.024019 ,0.036128 ,0.0175131, 
 , ,10 , 5, S, 16, 6, ,4 , 1.0836,0.0244474 ,0.0357308 ,0.0174858, 
 , ,10 , 5, S, 16, 6, ,5 , 1.08718,0.0310177 ,0.0360212 ,0.0106208, 
 , ,10 , 5, S, 16, 6, ,0 , 1.09261,0.0310208 ,0.0360208 ,0.0106175, 
2, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 16, 6, ,1 , 1.08501,0.0214452 ,0.0362038 ,0.0164713, 
 , ,10 , 5, S, 16, 6, ,2 , 1.08634,0.0214667 ,0.0378511 ,0.0152641, 
 , ,10 , 5, S, 16, 6, ,3 , 1.08925,0.0213976 ,0.0384512 ,0.0147473, 
 , ,10 , 5, S, 16, 6, ,4 , 1.09036,0.0217456 ,0.0360061 ,0.0168448, 
 , ,10 , 5, S, 16, 6, ,5 , 1.09328,0.0283133 ,0.035855 ,0.0102369, 
 , ,10 , 5, S, 16, 6, ,0 , 1.09922,0.0283169 ,0.0359503 ,0.0101377, 
1, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 16, 9, ,1 , 1.0628,0.0223932 ,0.0388333 ,0.0027166, 
 , ,10 , 5, S, 16, 9, ,2 , 1.06346,0.0224097 ,0.0244452 ,0.0170883, 
 , ,10 , 5, S, 16, 9, ,4 , 1.06662,0.0223076 ,0.0242802 ,0.0176841, 
 , ,10 , 5, S, 16, 9, ,5 , 1.0672,0.0223137 ,0.0257548 ,0.0162022, 
 , ,10 , 5, S, 16, 9, ,3 , 1.06809,0.0223064 ,0.0241506 ,0.0200065, 
 , ,10 , 5, S, 16, 9, ,6 , 1.06999,0.0218065 ,0.0237322 ,0.0190445, 
 , ,10 , 5, S, 16, 9, ,7 , 1.07053,0.0218086 ,0.0241529 ,0.0183719, 
 , ,10 , 5, S, 16, 9, ,8 , 1.07374,0.0290106 ,0.0242147 ,0.0113957, 
 , ,10 , 5, S, 16, 9, ,0 , 1.07942,0.0290147 ,0.02401 ,0.0115955, 
2, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 16, 9, ,1 , 1.11851,0.0224425 ,0.0244438 ,0.0267751, 
 , ,10 , 5, S, 16, 9, ,2 , 1.11918,0.0224781 ,0.0258919 ,0.02562, 
 , ,10 , 5, S, 16, 9, ,3 , 1.12149,0.0223821 ,0.02396 ,0.0276167, 
 , ,10 , 5, S, 16, 9, ,4 , 1.12261,0.0223811 ,0.0253101 ,0.0265937, 
 , ,10 , 5, S, 16, 9, ,5 , 1.1237,0.0223871 ,0.024464 ,0.0277199, 
 , ,10 , 5, S, 16, 9, ,6 , 1.12599,0.0219892 ,0.0237864 ,0.0288681, 
 , ,10 , 5, S, 16, 9, ,7 , 1.12675,0.0219885 ,0.0418792 ,0.0107766, 
 , ,10 , 5, S, 16, 9, ,8 , 1.12962,0.0291905 ,0.0246669 ,0.0207873, 
 , ,10 , 5, S, 16, 9, ,0 , 1.13523,0.0291933 ,0.0242943 ,0.0211556, 
1, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 16, 12, ,1 , 1.1406,0.0232915 ,0.0316131 ,0.0183749, 
 , ,10 , 5, S, 16, 12, ,2 , 1.13192,0.0233026 ,0.0313283 ,0.0188849, 
 , ,10 , 5, S, 16, 12, ,3 , 1.143,0.0232925 ,0.0313006 ,0.0189028, 
 , ,10 , 5, S, 16, 12, ,4 , 1.14357,0.0232955 ,0.0317018 ,0.0184993, 
 , ,10 , 5, S, 16, 12, ,5 , 1.14448,0.0233001 ,0.031377 ,0.0190805, 
 , ,10 , 5, S, 16, 12, ,6 , 1.14598,0.0232621 ,0.0311782 ,0.0193039, 
 , ,10 , 5, S, 16, 12, ,7 , 1.14654,0.0232661 ,0.0322315 ,0.0182473, 
 , ,10 , 5, S, 16, 12, ,8 , 1.14721,0.0232738 ,0.0310634 ,0.0194086, 
 , ,10 , 5, S, 16, 12, ,9 , 1.14919,0.0226456 ,0.0310988 ,0.0199427, 
 , ,10 , 5, S, 16, 12, ,10 , 1.14972,0.0228649 ,0.0318496 ,0.0189631, 
 , ,10 , 5, S, 16, 12, ,11 , 1.15256,0.0302916 ,0.0318557 ,0.0115303, 
 , ,10 , 5, S, 16, 12, ,0 , 1.15826,0.0302945 ,0.0313889 ,0.0119926, 
2, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 16, 12, ,1 , 1.16977,0.0231471 ,0.0314322 ,0.0194954, 
 , ,10 , 5, S, 16, 12, ,3 , 1.17224,0.0231869 ,0.0313344 ,0.019797, 
 , ,10 , 5, S, 16, 12, ,2 , 1.17076,0.0231858 ,0.0314052 ,0.0197503, 
 , ,10 , 5, S, 16, 12, ,6 , 1.1749,0.0244872 ,0.0311279 ,0.0186698, 
 , ,10 , 5, S, 16, 12, ,4 , 1.17261,0.024542 ,0.0314209 ,0.0183538, 
 , ,10 , 5, S, 16, 12, ,5 , 1.17338,0.0245672 ,0.0312761 ,0.0184745, 
 , ,10 , 5, S, 16, 12, ,7 , 1.17536,0.0244863 ,0.0317479 ,0.0180485, 
 , ,10 , 5, S, 16, 12, ,8 , 1.16807,0.0244919 ,0.0312994 ,0.0184935, 
 , ,10 , 5, S, 16, 12, ,9 , 1.17797,0.0239551 ,0.0311202 ,0.0192084, 
 , ,10 , 5, S, 16, 12, ,0 , 1.18695,0.0316063 ,0.0312122 ,0.0114688, 
 , ,10 , 5, S, 16, 12, ,10 , 1.17854,0.0241795 ,0.0315913 ,0.0185117, 
 , ,10 , 5, S, 16, 12, ,11 , 1.18121,0.0316036 ,0.0315302 ,0.0111555, 
