N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  

1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 1, 3, ,0 , 1.18485,0.00023452 ,0.0113404 ,0.000178525, 
 , ,100 , 50, S, 1, 3, ,1 , 1.18509,0.00015983 ,0.011334 ,0.000260158, 
 , ,100 , 50, S, 1, 3, ,2 , 1.18457,0.000234289 ,0.0113374 ,0.000181851, 
2, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 1, 3, ,0 , 1.18552,0.000232746 ,0.0113591 ,0.000177763, 
 , ,100 , 50, S, 1, 3, ,1 , 1.18576,0.000159249 ,0.0113434 ,0.000264907, 
 , ,100 , 50, S, 1, 3, ,2 , 1.18523,0.000232536 ,0.011347 ,0.000190126, 
1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 1, 6, ,1 , 0.699512,0.000310142 ,0.00568438 ,0.000551945, 
 , ,100 , 50, S, 1, 6, ,2 , 0.699596,0.000341772 ,0.00570068 ,0.000500789, 
 , ,100 , 50, S, 1, 6, ,3 , 0.697678,0.00037861 ,0.00568189 ,0.000488235, 
 , ,100 , 50, S, 1, 6, ,4 , 0.699595,0.000421029 ,0.00565995 ,0.000467977, 
 , ,100 , 50, S, 1, 6, ,5 , 0.699611,0.000727535 ,0.00566119 ,0.000158227, 
 , ,100 , 50, S, 1, 6, ,0 , 0.699793,0.000514795 ,0.00569531 ,0.000328446, 
2, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 1, 6, ,1 , 0.703283,0.000301937 ,0.00566604 ,0.000580058, 
 , ,100 , 50, S, 1, 6, ,2 , 0.703316,0.000336451 ,0.00567698 ,0.000525065, 
 , ,100 , 50, S, 1, 6, ,3 , 0.703313,0.000373841 ,0.00567508 ,0.00050106, 
 , ,100 , 50, S, 1, 6, ,4 , 0.703343,0.000404839 ,0.00564715 ,0.000493556, 
 , ,100 , 50, S, 1, 6, ,5 , 0.702496,0.000718558 ,0.00565221 ,0.000172133, 
 , ,100 , 50, S, 1, 6, ,0 , 0.703087,0.000512381 ,0.00570419 ,0.000325621, 
1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 1, 9, ,8 , 0.481855,0.000502162 ,0.00376744 ,0.00013836, 
 , ,100 , 50, S, 1, 9, ,1 , 0.481692,0.00021889 ,0.00379012 ,0.000394159, 
 , ,100 , 50, S, 1, 9, ,2 , 0.48048,0.000235752 ,0.00377718 ,0.000391414, 
 , ,100 , 50, S, 1, 9, ,3 , 0.481734,0.000253505 ,0.00377902 ,0.000370364, 
 , ,100 , 50, S, 1, 9, ,4 , 0.47149,0.000273442 ,0.00378363 ,0.000349936, 
 , ,100 , 50, S, 1, 9, ,5 , 0.481848,0.000291035 ,0.00377984 ,0.000334818, 
 , ,100 , 50, S, 1, 9, ,6 , 0.481135,0.000313428 ,0.0037968 ,0.000295404, 
