N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  

1, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 1, 1, ,0 , 1.71835,1.81e-07 ,0.000342091 ,1.81e-07, 
2, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 1, 1, ,0 , 1.71638,1.8e-07 ,0.000341541 ,1.8e-07, 
1, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 1, 3, ,2 , 0.633762,6.683e-06 ,0.000112991 ,5.381e-06, 
 , ,5000 , 2500, S, 1, 3, ,0 , 0.634791,4.469e-06 ,0.00011741 ,3.567e-06, 
 , ,5000 , 2500, S, 1, 3, ,1 , 0.634769,4.969e-06 ,0.000112341 ,8.185e-06, 
2, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 1, 3, ,0 , 0.631598,4.147e-06 ,0.00011771 ,3.577e-06, 
 , ,5000 , 2500, S, 1, 3, ,1 , 0.631219,4.839e-06 ,0.000112722 ,7.714e-06, 
 , ,5000 , 2500, S, 1, 3, ,2 , 0.630902,7.123e-06 ,0.000112991 ,5.089e-06, 
1, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 1, 6, ,1 , 0.384106,5.931e-06 ,5.8821e-05 ,8.205e-06, 
 , ,5000 , 2500, S, 1, 6, ,2 , 0.382674,6.593e-06 ,5.876e-05 ,7.544e-06, 
 , ,5000 , 2500, S, 1, 6, ,3 , 0.382409,6.342e-06 ,5.7398e-05 ,8.706e-06, 
 , ,5000 , 2500, S, 1, 6, ,4 , 0.38413,7.193e-06 ,5.4993e-05 ,1.097e-05, 
 , ,5000 , 2500, S, 1, 6, ,5 , 0.384204,1.2233e-05 ,5.5114e-05 ,5.57e-06, 
 , ,5000 , 2500, S, 1, 6, ,0 , 0.38245,8.246e-06 ,5.894e-05 ,5.951e-06, 
2, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 1, 6, ,0 , 0.396564,7.705e-06 ,5.9171e-05 ,6.001e-06, 
 , ,5000 , 2500, S, 1, 6, ,1 , 0.3966,6.242e-06 ,5.888e-05 ,7.644e-06, 
 , ,5000 , 2500, S, 1, 6, ,2 , 0.394848,7.203e-06 ,5.862e-05 ,7.114e-06, 
 , ,5000 , 2500, S, 1, 6, ,3 , 0.396605,7.434e-06 ,5.7318e-05 ,8.175e-06, 
 , ,5000 , 2500, S, 1, 6, ,4 , 0.396614,7.865e-06 ,5.4873e-05 ,1.0079e-05, 
 , ,5000 , 2500, S, 1, 6, ,5 , 0.396615,1.1151e-05 ,5.4963e-05 ,6.271e-06, 
1, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 1, 9, ,0 , 0.381814,1.0069e-05 ,4.2129e-05 ,8.025e-06, 
 , ,5000 , 2500, S, 1, 9, ,2 , 0.381716,1.0951e-05 ,3.8432e-05 ,1.1021e-05, 
 , ,5000 , 2500, S, 1, 9, ,4 , 0.381324,1.1611e-05 ,3.8141e-05 ,1.045e-05, 
 , ,5000 , 2500, S, 1, 9, ,6 , 0.37329,1.2153e-05 ,3.7811e-05 ,1.0299e-05, 
 , ,5000 , 2500, S, 1, 9, ,8 , 0.381709,1.636e-05 ,3.7691e-05 ,6.643e-06, 
 , ,5000 , 2500, S, 1, 9, ,7 , 0.381573,1.3836e-05 ,3.8763e-05 ,7.975e-06, 
 , ,5000 , 2500, S, 1, 9, ,1 , 0.381622,1.1211e-05 ,3.9434e-05 ,9.538e-06, 
 , ,5000 , 2500, S, 1, 9, ,3 , 0.381566,1.2744e-05 ,3.7751e-05 ,1.0079e-05, 
 , ,5000 , 2500, S, 1, 9, ,5 , 0.381646,1.3375e-05 ,3.733e-05 ,9.868e-06, 
2, 100x100, , , , , ,numa, , , , , , cores close
 , ,5000 , 2500, S, 1, 9, ,0 , 0.360414,9.448e-06 ,4.2409e-05 ,8.116e-06, 
 , ,5000 , 2500, S, 1, 9, ,2 , 0.360316,1.1121e-05 ,3.8592e-05 ,1.058e-05, 
 , ,5000 , 2500, S, 1, 9, ,4 , 0.360249,1.1742e-05 ,3.8402e-05 ,9.919e-06, 
 , ,5000 , 2500, S, 1, 9, ,6 , 0.359812,1.2313e-05 ,3.7791e-05 ,1.0069e-05, 
 , ,5000 , 2500, S, 1, 9, ,8 , 0.359719,1.623e-05 ,3.756e-05 ,6.392e-06, 
 , ,5000 , 2500, S, 1, 9, ,5 , 0.360246,1.3335e-05 ,3.715e-05 ,9.929e-06, 
 , ,5000 , 2500, S, 1, 9, ,7 , 0.360239,1.3966e-05 ,3.8593e-05 ,8.005e-06, 
 , ,5000 , 2500, S, 1, 9, ,1 , 0.360241,1.1592e-05 ,3.8231e-05 ,1.0619e-05, 
