N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  

1, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 1, 2, ,1 , 17.6795,0.0282172 ,1.69808 ,0.0233448, 
 , ,10 , 5, S, 1, 2, ,0 , 17.6868,0.0282169 ,1.70108 ,0.0203451, 
2, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 1, 2, ,1 , 17.7296,0.0282996 ,1.69722 ,0.02382, 
 , ,10 , 5, S, 1, 2, ,0 , 17.7265,0.0282967 ,1.70032 ,0.02073, 
1, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 2, 2, ,1 , 9.21222,0.0285197 ,0.848121 ,0.0147718, 
 , ,10 , 5, S, 2, 2, ,0 , 9.21965,0.0285185 ,0.848257 ,0.0146372, 
2, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 2, 2, ,1 , 9.27601,0.0366681 ,0.848093 ,0.0149041, 
 , ,10 , 5, S, 2, 2, ,0 , 9.28254,0.0366661 ,0.847948 ,0.0150518, 
1, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 4, 2, ,1 , 5.00158,0.0296098 ,0.424364 ,0.0155182, 
 , ,10 , 5, S, 4, 2, ,0 , 5.00845,0.0296148 ,0.424778 ,0.0151102, 
2, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 4, 2, ,1 , 4.98596,0.036634 ,0.425718 ,0.0149634, 
 , ,10 , 5, S, 4, 2, ,0 , 4.99265,0.0366312 ,0.424894 ,0.0157903, 
1, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 8, 2, ,1 , 2.90067,0.029339 ,0.213113 ,0.0171782, 
 , ,10 , 5, S, 8, 2, ,0 , 2.90756,0.0293382 ,0.214662 ,0.0156301, 
2, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 8, 2, ,1 , 2.92657,0.0295132 ,0.213602 ,0.0179812, 
 , ,10 , 5, S, 8, 2, ,0 , 2.94384,0.0295057 ,0.215968 ,0.0156219, 
1, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 16, 2, ,1 , 1.83035,0.0302064 ,0.106956 ,0.0177998, 
 , ,10 , 5, S, 16, 2, ,0 , 1.82659,0.0302046 ,0.107742 ,0.0170166, 
2, 10000x10000, , , , , ,socket, , , , , , cores close
 , ,10 , 5, S, 16, 2, ,1 , 1.80018,0.03042 ,0.106929 ,0.0169932, 
 , ,10 , 5, S, 16, 2, ,0 , 1.81738,0.0304173 ,0.106814 ,0.0171095, 
