N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity 

1, 1000x1000, , , , , ,L3cache, , , , , , cores close
 , ,100 , 50, S, 1, 8, ,5 , 0.516573,0.000277941 ,0.00426448 ,0.000280306, 
 , ,100 , 50, S, 1, 8, ,6 , 0.516645,0.000301385 ,0.00425038 ,0.000268503, 
 , ,100 , 50, S, 1, 8, ,7 , 0.516648,0.000455284 ,0.00424085 ,0.000125476, 
 , ,100 , 50, S, 1, 8, ,0 , 0.514915,0.000331932 ,0.00428576 ,0.000204854, 
 , ,100 , 50, S, 1, 8, ,1 , 0.516565,0.000189155 ,0.00424112 ,0.000388608, 
 , ,100 , 50, S, 1, 8, ,2 , 0.516663,0.000216526 ,0.0042547 ,0.000353493, 
 , ,100 , 50, S, 1, 8, ,3 , 0.516597,0.000239118 ,0.00424966 ,0.000334337, 
 , ,100 , 50, S, 1, 8, ,4 , 0.516543,0.000263194 ,0.00424726 ,0.000322996, 
2, 1000x1000, , , , , ,L3cache, , , , , , cores close
 , ,100 , 50, S, 1, 8, ,7 , 0.532565,0.000462617 ,0.0042497 ,8.3817e-05, 
 , ,100 , 50, S, 1, 8, ,0 , 0.53402,0.0003358 ,0.00425802 ,0.000208501, 
 , ,100 , 50, S, 1, 8, ,1 , 0.533954,0.000195256 ,0.00424572 ,0.000364092, 
 , ,100 , 50, S, 1, 8, ,2 , 0.534045,0.000209874 ,0.00426147 ,0.000316133, 
 , ,100 , 50, S, 1, 8, ,3 , 0.534009,0.000242595 ,0.00425272 ,0.000301896, 
 , ,100 , 50, S, 1, 8, ,4 , 0.5342,0.00026114 ,0.00425435 ,0.000286286, 
 , ,100 , 50, S, 1, 8, ,5 , 0.533523,0.000288491 ,0.00427188 ,0.000241203, 
 , ,100 , 50, S, 1, 8, ,6 , 0.532493,0.000303088 ,0.00425944 ,0.000235502, 
1, 1000x1000, , , , , ,L3cache, , , , , , cores close
 , ,100 , 50, S, 2, 8, ,7 , 0.322004,0.000457869 ,0.00212714 ,9.071e-05, 
 , ,100 , 50, S, 2, 8, ,1 , 0.320596,0.000193633 ,0.00213615 ,0.000343043, 
 , ,100 , 50, S, 2, 8, ,2 , 0.3221,0.000212599 ,0.00213282 ,0.000332594, 
 , ,100 , 50, S, 2, 8, ,3 , 0.322274,0.000239088 ,0.00213256 ,0.000306405, 
 , ,100 , 50, S, 2, 8, ,4 , 0.322114,0.000254287 ,0.00212639 ,0.000296246, 
 , ,100 , 50, S, 2, 8, ,5 , 0.3221,0.000276438 ,0.00213973 ,0.000258264, 
 , ,100 , 50, S, 2, 8, ,6 , 0.321984,0.000300814 ,0.00212627 ,0.000253616, 
 , ,100 , 50, S, 2, 8, ,0 , 0.309807,0.000329397 ,0.00214471 ,0.000209693, 
2, 1000x1000, , , , , ,L3cache, , , , , , cores close
