N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  

1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100, 50 , O, 1, 1, , , 3.4406, , , , 
 , ,100, 50 , O, 1, 1, , , 3.43998, , , , 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100, 50 , O, 1, 1, , , 3.44051, , , , 
 , ,100, 50 , O, 1, 1, , , 3.4407, , , , 
1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 1, 2, ,0 , 1.76895,0.000305281 ,0.0169629 ,0.00032095, 
 , ,100 , 50, S, 1, 2, ,1 , 1.76857,0.000304559 ,0.0170582 ,0.000226173, 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 1, 2, ,0 , 1.76851,0.000299149 ,0.0169448 ,0.000346438, 
 , ,100 , 50, S, 1, 2, ,1 , 1.76879,0.000298348 ,0.0170607 ,0.000231383, 
1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 2, 2, ,0 , 0.955121,0.00035818 ,0.00852894 ,0.000230001, 
 , ,100 , 50, S, 2, 2, ,1 , 0.954357,0.000300392 ,0.00855252 ,0.000264284, 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 2, 2, ,0 , 0.951667,0.0002992 ,0.0085109 ,0.000244798, 
 , ,100 , 50, S, 2, 2, ,1 , 0.951978,0.000298718 ,0.00852536 ,0.000231032, 
1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 4, 2, ,1 , 0.525669,0.000290483 ,0.00429858 ,0.000234949, 
 , ,100 , 50, S, 4, 2, ,0 , 0.525366,0.000291054 ,0.00426203 ,0.000271037, 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 4, 2, ,0 , 0.551572,0.000298569 ,0.00425022 ,0.000270476, 
 , ,100 , 50, S, 4, 2, ,1 , 0.551571,0.000297798 ,0.00429189 ,0.000229659, 
1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 8, 2, ,1 , 0.316353,0.00032059 ,0.0021539 ,0.000309499, 
 , ,100 , 50, S, 8, 2, ,0 , 0.31668,0.000321051 ,0.0022267 ,0.000235972, 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 8, 2, ,0 , 0.317197,0.000324827 ,0.00218287 ,0.000233376, 
 , ,100 , 50, S, 8, 2, ,1 , 0.316871,0.000324407 ,0.00216243 ,0.000254466, 
1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 16, 2, ,0 , 0.197342,0.000255678 ,0.00108979 ,0.00020348, 
 , ,100 , 50, S, 16, 2, ,1 , 0.19696,0.000255157 ,0.00108672 ,0.000207088, 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 16, 2, ,0 , 0.203469,0.00025146 ,0.00118782 ,0.000204914, 
 , ,100 , 50, S, 16, 2, ,1 , 0.203778,0.000251 ,0.00109457 ,0.000298669, 
