N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  

1, 1000x1000, , , , , ,node, , , , , , cores close
 , ,100 , 50, S, 1, 8, ,6 , 0.545541,0.000482204 ,0.00423678 ,0.000450394, 
 , ,100 , 50, S, 1, 8, ,7 , 0.545643,0.000792987 ,0.0042546 ,0.000113393, 
 , ,100 , 50, S, 1, 8, ,1 , 0.545158,0.000318447 ,0.00423779 ,0.000615684, 
 , ,100 , 50, S, 1, 8, ,2 , 0.544694,0.000337753 ,0.00423929 ,0.000593152, 
 , ,100 , 50, S, 1, 8, ,3 , 0.54401,0.000368 ,0.00425032 ,0.000550813, 
 , ,100 , 50, S, 1, 8, ,4 , 0.535079,0.000385293 ,0.00427386 ,0.000510287, 
 , ,100 , 50, S, 1, 8, ,5 , 0.543782,0.000436428 ,0.00425532 ,0.000478707, 
 , ,100 , 50, S, 1, 8, ,0 , 0.545832,0.000569848 ,0.00425438 ,0.000348032, 
2, 1000x1000, , , , , ,node, , , , , , cores close
 , ,100 , 50, S, 1, 8, ,6 , 0.527683,0.000460834 ,0.00423695 ,0.000299171, 
 , ,100 , 50, S, 1, 8, ,7 , 0.525889,0.000662061 ,0.00424113 ,9.3315e-05, 
 , ,100 , 50, S, 1, 8, ,1 , 0.527688,0.000292658 ,0.00423439 ,0.000475792, 
 , ,100 , 50, S, 1, 8, ,2 , 0.527677,0.000316684 ,0.00424163 ,0.0004429, 
 , ,100 , 50, S, 1, 8, ,3 , 0.527673,0.00034712 ,0.00424157 ,0.000415629, 
 , ,100 , 50, S, 1, 8, ,4 , 0.526816,0.000368751 ,0.00424393 ,0.000385543, 
 , ,100 , 50, S, 1, 8, ,5 , 0.525563,0.000417643 ,0.00424643 ,0.000336611, 
 , ,100 , 50, S, 1, 8, ,0 , 0.527976,0.000449613 ,0.00423773 ,0.000318978, 
1, 1000x1000, , , , , ,node, , , , , , cores close
 , ,100 , 50, S, 2, 8, ,0 , 0.369724,0.000260608 ,0.00215073 ,0.000163286, 
 , ,100 , 50, S, 2, 8, ,2 , 0.36962,0.000159539 ,0.00212539 ,0.00028282, 
 , ,100 , 50, S, 2, 8, ,4 , 0.369598,0.000192461 ,0.00213015 ,0.000245309, 
 , ,100 , 50, S, 2, 8, ,6 , 0.369683,0.000232857 ,0.00212435 ,0.000210424, 
 , ,100 , 50, S, 2, 8, ,3 , 0.368557,0.000203831 ,0.00218366 ,0.000174987, 
 , ,100 , 50, S, 2, 8, ,5 , 0.3695,0.000238446 ,0.00217878 ,0.000145402, 
 , ,100 , 50, S, 2, 8, ,7 , 0.368764,0.000372006 ,0.00218146 ,8.717e-06, 
 , ,100 , 50, S, 2, 8, ,1 , 0.365934,0.00017106 ,0.00217194 ,0.000219932, 
2, 1000x1000, , , , , ,node, , , , , , cores close
 , ,100 , 50, S, 2, 8, ,0 , 0.340858,0.00026136 ,0.00211893 ,0.000181249, 
 , ,100 , 50, S, 2, 8, ,2 , 0.340824,0.000181611 ,0.00212163 ,0.000276808, 
 , ,100 , 50, S, 2, 8, ,4 , 0.340862,0.000218419 ,0.00212559 ,0.000236443, 
 , ,100 , 50, S, 2, 8, ,6 , 0.340776,0.000254397 ,0.00212414 ,0.000202098, 
 , ,100 , 50, S, 2, 8, ,5 , 0.321961,0.000265867 ,0.00219859 ,0.000116418, 
 , ,100 , 50, S, 2, 8, ,7 , 0.340261,0.00039544 ,0.00217661 ,9.147e-06, 
 , ,100 , 50, S, 2, 8, ,1 , 0.315134,0.000194634 ,0.0022081 ,0.000178433, 
 , ,100 , 50, S, 2, 8, ,3 , 0.340546,0.000229709 ,0.00220499 ,0.000146764, 
1, 1000x1000, , , , , ,node, , , , , , cores close
 , ,100 , 50, S, 4, 8, ,6 , 0.221014,0.000234921 ,0.00105959 ,0.000153307, 
 , ,100 , 50, S, 4, 8, ,2 , 0.220993,0.000164137 ,0.00106211 ,0.000221736, 
 , ,100 , 50, S, 4, 8, ,4 , 0.220938,0.000198983 ,0.00106509 ,0.000184095, 
 , ,100 , 50, S, 4, 8, ,0 , 0.221101,0.000253145 ,0.00106063 ,0.000141545, 
 , ,100 , 50, S, 4, 8, ,5 , 0.20911,0.000246551 ,0.00106752 ,0.000134141, 
 , ,100 , 50, S, 4, 8, ,7 , 0.220708,0.000373509 ,0.00106724 ,7.103e-06, 
 , ,100 , 50, S, 4, 8, ,1 , 0.201458,0.000179135 ,0.00106867 ,0.000200355, 
 , ,100 , 50, S, 4, 8, ,3 , 0.220829,0.000211125 ,0.00106185 ,0.000175138, 
2, 1000x1000, , , , , ,node, , , , , , cores close
 , ,100 , 50, S, 4, 8, ,2 , 0.221151,0.000153037 ,0.00106256 ,0.000211987, 
 , ,100 , 50, S, 4, 8, ,4 , 0.221094,0.000184987 ,0.00106445 ,0.000178865, 
 , ,100 , 50, S, 4, 8, ,6 , 0.221105,0.00021888 ,0.00106377 ,0.000144621, 
 , ,100 , 50, S, 4, 8, ,0 , 0.221193,0.000245971 ,0.00106125 ,0.000136185, 
 , ,100 , 50, S, 4, 8, ,7 , 0.220601,0.00034734 ,0.00107007 ,6.883e-06, 
 , ,100 , 50, S, 4, 8, ,1 , 0.197346,0.000162524 ,0.00106408 ,0.000199203, 
 , ,100 , 50, S, 4, 8, ,3 , 0.220168,0.000194844 ,0.0010624 ,0.000168215, 
 , ,100 , 50, S, 4, 8, ,5 , 0.21573,0.000227466 ,0.0010687 ,0.000128731, 
1, 1000x1000, , , , , ,node, , , , , , cores close
 , ,100 , 50, S, 8, 8, ,2 , 0.178789,0.000155501 ,0.000542507 ,0.000194224, 
 , ,100 , 50, S, 8, 8, ,4 , 0.183931,0.000185357 ,0.00054468 ,0.000161422, 
 , ,100 , 50, S, 8, 8, ,6 , 0.174835,0.000218349 ,0.000543058 ,0.000130064, 
 , ,100 , 50, S, 8, 8, ,0 , 0.184127,0.000230823 ,0.00054951 ,0.000110848, 
 , ,100 , 50, S, 8, 8, ,5 , 0.183853,0.000233467 ,0.000543807 ,0.000117119, 
 , ,100 , 50, S, 8, 8, ,7 , 0.183796,0.000330548 ,0.000547154 ,1.649e-05, 
 , ,100 , 50, S, 8, 8, ,1 , 0.183786,0.000171972 ,0.000548606 ,0.000174046, 
