N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity

1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 8, 2, ,0 , 0.294353,0.000209744 ,0.00216643 ,0.000138149, 
 , ,100 , 50, S, 8, 2, ,1 , 0.29469,0.000209522 ,0.00213996 ,0.000164899, 
2, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 8, 2, ,1 , 0.294592,0.000209653 ,0.00214119 ,0.000168946, 
 , ,100 , 50, S, 8, 2, ,0 , 0.294878,0.000209934 ,0.00217175 ,0.000138088,

1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 1, 8, ,4 , 0.547129,0.000494847 ,0.00424335 ,0.000658004,
 , ,100 , 50, S, 1, 8, ,5 , 0.545416,0.00054931 ,0.00424739 ,0.000609182,
 , ,100 , 50, S, 1, 8, ,6 , 0.54669,0.000591229 ,0.00423191 ,0.000578294,
 , ,100 , 50, S, 1, 8, ,7 , 0.536164,0.00103901 ,0.00424103 ,0.000126748,
 , ,100 , 50, S, 1, 8, ,1 , 0.534028,0.000423003 ,0.00424113 ,0.000734256,
 , ,100 , 50, S, 1, 8, ,2 , 0.53405,0.000434514 ,0.00423923 ,0.000721032,
 , ,100 , 50, S, 1, 8, ,3 , 0.535542,0.000481192 ,0.00424496 ,0.00067764,
 , ,100 , 50, S, 1, 8, ,0 , 0.547065,0.000817112 ,0.00424609 ,0.000351049,
2, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 1, 8, ,2 , 0.541255,0.000343624 ,0.00423982 ,0.00237725,
 , ,100 , 50, S, 1, 8, ,3 , 0.540331,0.000364053 ,0.00425726 ,0.00232106,
 , ,100 , 50, S, 1, 8, ,4 , 0.540297,0.000384591 ,0.00424374 ,0.00234369,
 , ,100 , 50, S, 1, 8, ,5 , 0.539599,0.00043197 ,0.00424808 ,0.00226873,
 , ,100 , 50, S, 1, 8, ,6 , 0.529203,0.000483186 ,0.00424211 ,0.00223326,
 , ,100 , 50, S, 1, 8, ,7 , 0.540805,0.000802134 ,0.00424634 ,0.00190347,
 , ,100 , 50, S, 1, 8, ,1 , 0.54083,0.000317776 ,0.00423606 ,0.00238264,
 , ,100 , 50, S, 1, 8, ,0 , 0.541299,0.000574467 ,0.00600233 ,0.000372669,
1, 1000x1000, , , , , ,numa, , , , , , cores close
 , ,100 , 50, S, 2, 8, ,0 , 0.354021,0.00044278 ,0.00218309 ,0.000315832,
 , ,100 , 50, S, 2, 8, ,1 , 0.354627,0.000295904 ,0.00218885 ,0.000452108,
 , ,100 , 50, S, 2, 8, ,2 , 0.354622,0.000318617 ,0.00219383 ,0.000424366,
 , ,100 , 50, S, 2, 8, ,3 , 0.354114,0.000345107 ,0.00218949 ,0.000406883,
 , ,100 , 50, S, 2, 8, ,4 , 0.35376,0.000377077 ,0.00215389 ,0.000405871,
 , ,100 , 50, S, 2, 8, ,5 , 0.353733,0.000415489 ,0.00215406 ,0.000367258,
