N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  

1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 1, 8, ,1 , 12.0706,0.0545793 ,0.00424932 ,0.0491731, 
 , ,100 , 50, S, 1, 8, ,3 , 12.1176,0.0819824 ,0.00425785 ,0.0374206, 
 , ,100 , 50, S, 1, 8, ,7 , 12.1192,0.0943469 ,0.00424652 ,0.0182672, 
 , ,100 , 50, S, 1, 8, ,5 , 12.13,0.0679775 ,0.00425182 ,0.0478066, 
 , ,100 , 50, S, 1, 8, ,2 , 12.1339,0.0846104 ,0.00424976 ,0.0511398, 
 , ,100 , 50, S, 1, 8, ,6 , 12.0968,0.0869927 ,0.00423863 ,0.0699746, 
 , ,100 , 50, S, 1, 8, ,4 , 12.1437,0.00899768 ,0.0042491 ,0.0841143, 
 , ,100 , 50, S, 1, 8, ,0 , 12.1396,0.0589749 ,0.00424309 ,0.0314991, 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 1, 8, ,2 , 12.0042,0.0550607 ,0.00425458 ,0.0269577, 
 , ,100 , 50, S, 1, 8, ,6 , 12.0108,0.082602 ,0.00423358 ,0.00658206, 
 , ,100 , 50, S, 1, 8, ,7 , 12.0137,0.0552835 ,0.00425195 ,0.0237367, 
 , ,100 , 50, S, 1, 8, ,5 , 11.9752,0.0829829 ,0.00426117 ,0.0399447, 
 , ,100 , 50, S, 1, 8, ,3 , 12.0114,0.10998 ,0.00425721 ,0.00617361, 
 , ,100 , 50, S, 1, 8, ,1 , 11.9995,0.0819746 ,0.00425214 ,0.0204212, 
 , ,100 , 50, S, 1, 8, ,4 , 12.008,0.0270013 ,0.00425124 ,0.0287611, 
 , ,100 , 50, S, 1, 8, ,0 , 11.9743,0.0268709 ,0.00424152 ,0.0221128, 
1, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 8, 8, ,4 , 12.404,0.0280097 ,0.00123888 ,0.0327604, 
 , ,100 , 50, S, 8, 8, ,7 , 12.446,0.0833014 ,0.00121515 ,0.0264924, 
 , ,100 , 50, S, 8, 8, ,3 , 12.4411,0.0619865 ,0.00122392 ,0.0499168, 
 , ,100 , 50, S, 8, 8, ,5 , 12.4619,0.0933222 ,0.00094989 ,0.0155917, 
 , ,100 , 50, S, 8, 8, ,1 , 12.4347,0.0559805 ,0.00122042 ,0.0296247, 
 , ,100 , 50, S, 8, 8, ,2 , 12.4703,0.0280053 ,0.00121526 ,0.0541943, 
 , ,100 , 50, S, 8, 8, ,6 , 12.4525,0.0919978 ,0.000941986 ,0.0346248, 
 , ,100 , 50, S, 8, 8, ,0 , 12.4775,0.0269774 ,0.00121153 ,0.0488133, 
2, 1000x1000, , , , , ,socket, , , , , , cores close
 , ,100 , 50, S, 8, 8, ,2 , 12.3559,0.0666986 ,0.0012159 ,0.055317, 
 , ,100 , 50, S, 8, 8, ,7 , 12.3519,0.0943131 ,0.00408377 ,0.0255985, 
 , ,100 , 50, S, 8, 8, ,1 , 12.3071,0.0511633 ,0.000658534 ,0.0493096, 
 , ,100 , 50, S, 8, 8, ,4 , 12.3569,0.031001 ,0.00122617 ,0.0717795, 
 , ,100 , 50, S, 8, 8, ,6 , 12.367,0.0850009 ,0.0012374 ,0.0479518, 
 , ,100 , 50, S, 8, 8, ,5 , 12.3696,0.06165 ,0.0203289 ,0.0287228, 
 , ,100 , 50, S, 8, 8, ,0 , 12.3423,0.0509516 ,0.0012298 ,0.0421299, 
 , ,100 , 50, S, 8, 8, ,3 , 12.37,0.0940828 ,0.0339742 ,0.034037, 

