N_test, Img_dims, n, s, O or S, nOMP, nMPI, MPI_loc, MPI_rank, Time(sec), MPI_Scv(sec), MPI_Gav(sec), for_loop(sec), Affinity  

1, 500x500, , , , , ,socket, , , , , , cores close
 , ,500 , 250, S, 64, 1, ,0 , 0.146051,4.273e-05 ,0.000154189 ,2.2712e-05, 
2, 500x500, , , , , ,socket, , , , , , cores close
 , ,500 , 250, S, 64, 1, ,0 , 0.150384,4.1869e-05 ,0.000153417 ,2.7592e-05, 
1, 500x1000, , , , , ,socket, , , , , , cores close
 , ,500 , 250, S, 64, 2, ,1 , 0.221306,0.000141606 ,0.000120706 ,9.608e-05, 
 , ,500 , 250, S, 64, 2, ,0 , 0.221707,0.000111999 ,0.000140864 ,0.000108102, 
2, 500x1000, , , , , ,socket, , , , , , cores close
 , ,500 , 250, S, 64, 2, ,0 , 0.214375,0.00011217 ,0.000141575 ,0.00010702, 
 , ,500 , 250, S, 64, 2, ,1 , 0.214329,0.000143348 ,0.000120647 ,9.7192e-05, 
