OMP_PLACES is set to sockets
OMP_PROC_BINDING is set to spread
+ 64 threads in execution - -
thread 40 is running on core 72
thread 41 is running on core 73
thread 42 is running on core 74
thread 43 is running on core 75
thread 35 is running on core 67
thread 32 is running on core 64
thread 34 is running on core 66
thread 33 is running on core 65
thread 52 is running on core 84
thread 54 is running on core 86
thread 55 is running on core 87
thread 53 is running on core 85
thread 36 is running on core 68
thread 37 is running on core 69
thread 39 is running on core 71
thread 38 is running on core 70
thread 59 is running on core 91
thread 57 is running on core 89
thread 58 is running on core 90
thread 56 is running on core 88
thread 50 is running on core 82
thread 49 is running on core 81
thread 48 is running on core 80
thread 51 is running on core 83
thread 61 is running on core 93
thread 62 is running on core 94
thread 60 is running on core 92
thread 63 is running on core 95
thread 46 is running on core 78
thread 47 is running on core 79
thread 44 is running on core 76
thread 45 is running on core 77
thread  0 is running on core  0
thread 14 is running on core  1
thread 28 is running on core  7
thread  1 is running on core  6
thread 20 is running on core 13
thread  2 is running on core 12
thread  6 is running on core 10
thread 24 is running on core  8
thread 22 is running on core 36
thread 16 is running on core 39
thread 10 is running on core 19
thread 25 is running on core 18
thread 11 is running on core 35
thread 26 is running on core 34
thread 13 is running on core 23
thread 29 is running on core 22
thread 18 is running on core 41
thread  4 is running on core 40
thread  7 is running on core 31
thread 21 is running on core 30
thread  3 is running on core 26
thread 17 is running on core 24
thread 30 is running on core 46
thread  8 is running on core 47
thread  5 is running on core 48
thread 19 is running on core 50
thread 12 is running on core 59
thread 27 is running on core 58
thread 15 is running on core 63
thread 31 is running on core 62
thread  9 is running on core 55
thread 23 is running on core 54
